Title,Authors,ISBN/UID,Read Status,Star Rating,Last Date Read
All Quiet on the Western Front,Erich Maria Remarque,9780449213940,to-read,3.742424242424242,2026-02-12
The Poisonwood Bible,Barbara Kingsolver,9780060786502,to-read,3.742424242424242,2026-02-12
On Earth We're Briefly Gorgeous,Ocean Vuong,9780525562023,read,3.75,2026-01-19
The Bright Ages: A New History of Medieval Europe,"David M. Perry, Matthew Gabriele",9780062980892,read,2.0,2024-07-10
The Grapes of Wrath,John Steinbeck,9780670016907,to-read,3.742424242424242,2026-02-12
A Court of Wings and Ruin,Sarah J. Maas,9781635575606,read,5.0,2024-06-27
The Trial,Franz Kafka,9781542583169,to-read,3.742424242424242,2026-02-12
"Love, Theoretically",Ali Hazelwood,9781408725795,read,5.0,2024-06-02
Love & Gelato,Jenna Evans Welch,9781481432542,to-read,3.742424242424242,2026-02-12
All the Bright Places,Jennifer Niven,9780385755887,to-read,3.742424242424242,2026-02-12
Tweet Cute,Emma Lord,9781250237323,to-read,3.742424242424242,2026-02-12
Tuổi Trẻ Đáng Giá Bao Nhiêu,Rosie Nguyễn,9786045370193,to-read,3.742424242424242,2026-02-12
The Kite Runner,Khaled Hosseini,9781594631931,to-read,3.742424242424242,2026-02-12
The Awakening,Kate Chopin,9780543898081,to-read,3.742424242424242,2026-02-12
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,9781594202292,read,1.0,2025-07-06
The Perks of Being a Wallflower,Stephen Chbosky,2775117460988,to-read,3.742424242424242,2026-02-12
All In,Jennifer Lynn Barnes,9781484716434,to-read,3.742424242424242,2026-02-12
A Thousand Splendid Suns,Khaled Hosseini,9781594489501,to-read,3.742424242424242,2026-02-12
Crime and Punishment,Fyodor Dostoevsky,9781593080815,to-read,3.742424242424242,2026-02-12
Don Quixote,Miguel de Cervantes,9220393118343,to-read,3.742424242424242,2026-02-12
Not in Love,Ali Hazelwood,9781408728918,read,3.0,2024-08-24
Deep End,Ali Hazelwood,9780593641057,read,5.0,2026-01-17
The Defining Decade: Why Your Twenties Matter—And How to Make the Most of Them Now,Meg Jay,7739249079593,to-read,3.742424242424242,2026-02-12
Betting On You,Lynn Painter,9781665921237,to-read,3.742424242424242,2026-02-12
A Good Girl's Guide to Murder,Holly Jackson,9781405293181,to-read,3.742424242424242,2026-02-12
Oxford thương yêu,Dương Thụy,8934974153177,to-read,3.742424242424242,2026-02-12
Hello Stranger,Katherine Center,9781250283788,to-read,3.742424242424242,2026-02-12
Lolita,Vladimir Nabokov,9789176455784,to-read,3.742424242424242,2026-02-12
Home Is Where the Bodies Are,Jeneva Rose,9798212182843,to-read,3.742424242424242,2026-02-12
The Goldfinch,Donna Tartt,9780316055437,to-read,3.742424242424242,2026-02-12
Where the Crawdads Sing,Delia Owens,9780735219113,to-read,3.742424242424242,2026-02-12
If He Had Been with Me,Laura Nowlin,9781402277825,to-read,3.742424242424242,2026-02-12
A Portrait of the Artist as a Young Man,James Joyce,9780142437346,to-read,3.742424242424242,2026-02-12
The Death of Ivan Ilych,Leo Tolstoy,1786373433142,to-read,3.742424242424242,2026-02-12
Crime and Punishment,Fyodor Dostoevsky,3224116549956,to-read,3.742424242424242,2026-02-12
As Good As Dead,Holly Jackson,9780593379851,to-read,3.742424242424242,2026-02-12
On the Come Up,Angie Thomas,9780062840684,to-read,3.742424242424242,2026-02-12
Antigone,Sophocles,9781580493888,read,4.0,2025-09-17
Part of Your World,Abby Jimenez,9781538704370,to-read,3.742424242424242,2026-02-12
