Title,Authors,ISBN/UID,Read Status,Star Rating,Last Date Read
The Secret History,Donna Tartt,9781400031702,to-read,3.742424242424242,2026-02-12
The Plague,Albert Camus,9780140180206,to-read,3.742424242424242,2026-02-12
Eleanor & Park,Rainbow Rowell,9781250012579,to-read,3.742424242424242,2026-02-12
The American Roommate Experiment,Elena Armas,9781668002773,to-read,3.742424242424242,2026-02-12
Little Women,Louisa May Alcott,4989663389216,to-read,3.742424242424242,2026-02-12
War and Peace ,Leo Tolstoy,9780192833983,to-read,3.742424242424242,2026-02-12
Anatomy: A Love Story,Dana Schwartz,9780349433363,to-read,3.742424242424242,2026-02-12
We Are Not Free,Traci Chee,9780358131434,read,4.0,2024-08-16
Icebreaker,Hannah Grace,9781398543331,read,1.0,2024-06-09
Great Expectations,Charles Dickens,9780192833594,to-read,3.742424242424242,2026-02-12
The Chronicles of Women in White Coats,"Mia Ben MD, Kena Shah Do, Natasha Sriraman MD",9781987634662,to-read,3.742424242424242,2026-02-12
The Age of Innocence,Edith Wharton,9781593081430,to-read,3.742424242424242,2026-02-12
